Questions,Response
Why is the Earth oval-shaped and not round?	,"Earth isn’t a perfect sphere because it spins. This spinning causes the middle (equator) to bulge slightly, making Earth an oblate spheroid."
Why is the Moon white in color?	,The Moon looks white because it reflects sunlight. Its surface is made of light-colored dust and rocks that bounce back sunlight evenly.
Why does water turn into ice?	,"Water turns into ice when it gets cold enough—below 0°C. The molecules slow down and lock into a solid structure, forming ice crystals."
Why do stars twinkle?	,"Stars twinkle because their light passes through Earth’s atmosphere, which is full of moving air. This bends the light and makes it flicker.
"
Why do we have seasons?	,Seasons happen because Earth is tilted as it orbits the Sun. Different parts of Earth get more sunlight at different times of the year.
Why is the sky blue?,"Sunlight has all colors, but blue light scatters more in the atmosphere. That’s why we see a blue sky during the day."
Why do plants need sunlight?	,"Plants use sunlight to make food through a process called photosynthesis. Without sunlight, they can’t grow or survive."
Why do volcanoes erupt?	,Volcanoes erupt when pressure builds up from hot molten rock (magma) inside Earth. It pushes through cracks and explodes out.
Why do we see rainbows?	,"Rainbows happen when sunlight passes through raindrops. The light bends and splits into different colors, creating a rainbow.
"
Why do birds fly and humans can't?	,"Birds have lightweight bodies, strong chest muscles, and wings designed for flight. Humans are too heavy and don’t have wings or hollow bones."
How do airplanes fly? ,"Airplanes fly because of lift, a force created by their wings as air moves over and under them, generating different air pressures"
What is the Sun's main job?,The Sun is the primary source of energy for Earth. 
How much does the earth weigh?,"The earth weighs 13,170,000,000,000,000,000,000,000 pounds. You can say this number like this: 13 octillion, 170 septillion. That’s A LOT more than a million, billion, or trillion pounds!

To put things in perspective:

One male African bush elephant weighs 13,000 pounds.
100 elephants would weigh 1,300,000 (one million, 300 thousand) pounds.
One million elephants would weigh 13,000,000,000 (13 trillion) pounds.
One trillion elephants–there are not even this many on earth–would weigh 13,000,000,000,000,000 (13 quintillion) pounds.
And still, earth weighs one billion times more than that!

How do scientists know how much the earth weighs? They study the gravitational pull the earth has on other objects, and use math to calculate how big the earth must be."
How do flies walk on the ceiling?,Flies can walk upside down! They can do this because of their sticky feet
How are rainbows made?,"A rainbow is formed when light hits water droplets in the air and is refracted, or bent."
can I see the moon during the day?,"Yes,The moon is the brightest object in the night sky. During the day, the sun is much brighter! But sometimes, you can see the moon during the daytime."
Why do birds fly south for the winter?,Many birds fly south in the winter. Birds that eat nectar or insects will not be able to find food in areas that have cold winters.
Why does milk get foamy when you boil it?,"Milk is full of tiny things like proteins and fat. When you heat it up, the water in the milk starts turning into steam. The proteins and fat float to the top and make a thin layer—kind of like a blanket. That blanket traps the steam underneath, and the steam pushes up little bubbles. Those bubbles make the foam!

It’s like blowing bubbles in a bubble bath—the more heat, the more bubbles pop up!"
What makes us yawn when we're tired?,Yawning helps bring more oxygen to our brain to keep us alert.
How does our nose know when to sneeze?,It senses dust or germs and sneezes to clear them out.
What’s that rumbling sound in our tummy?,It’s your stomach moving food or asking for more!
How come our skin gets goosebumps?,Tiny muscles pull your hairs up when you're cold or excited.
What’s the reason we blink so often?,Blinking keeps our eyes clean and moist.
How do onions make our eyes water?,They release a gas that makes our eyes sting.
What’s special about our fingerprints?,They help us grip things and make each person unique.
What happens in our brain when we dream?,Our brain sorts memories and feelings while we sleep.
How does laughing help us feel better?,Laughing releases happy chemicals in our brain.
What causes hiccups to suddenly appear?,A tiny muscle under your lungs spasms and makes a hiccup sound.
How do cats make that purring sound?,They vibrate muscles in their throat when they’re happy.
What’s going on when dogs wag their tails?,"They’re showing excitement, happiness, or curiosity."
How do birds learn their songs?,They listen to other birds and practice singing.
What makes bees buzz so loudly?,Their wings flap super fast—about 200 times a second!
How do giraffes reach such high leaves?,Their long necks help them reach tall trees.
What’s the deal with snakes flicking their tongues?,They use their tongues to smell the air.
How do turtles carry their homes?,Their shells are part of their bodies and protect them.
What’s shooting out of a whale’s blowhole?,"It’s air they breathe out, not water."
How do frogs make that croaking noise?,They puff up a throat pouch and push out sound.
What helps ants follow each other in a line?,They follow scent trails left by other ants.
How does the sky get its blue color?,"Sunlight scatters in the air, and blue light spreads the most."
What makes stars twinkle at night?,Their light bends as it passes through Earth’s air.
How does the moon change its shape?,We see different parts of it as it orbits Earth.
What causes the seasons to shift?,Earth tilts as it goes around the sun.
How do astronauts float around in space?,There’s no gravity pulling them down like on Earth.
What makes the sun so bright and hot?,It’s a giant ball of burning gas.
How does Earth create day and night?,"Earth spins—when your side faces the sun, it’s day."
What gives comets their long tails?,The sun’s heat makes ice and dust stream behind them.
How come Pluto isn’t called a planet anymore?,It’s too small and doesn’t clear its orbit like others.
What do robots do when they land on Mars?,"They explore, take pictures, and study the planet’s surface."
How do magnets stick to things?,They pull on certain metals with invisible forces.
What helps objects float in water?,"If they’re lighter than the water they push away, they float."
How does ice turn into water?,Heat melts the solid ice into liquid.
What makes balloons pop so suddenly?,Too much air stretches them until they burst.
How do leaves change color in autumn?,"Trees stop making green stuff, so other colors show."
What causes volcanoes to erupt?,Hot melted rock pushes up from inside Earth.
How do raindrops create rainbows?,Sunlight bends through drops and splits into colors.
What makes metal feel colder than wood?,Metal pulls heat away from your skin faster.
How do bubbles stay in the air?,They’re filled with air and lighter than water.
What happens when sugar mixes into water?,Water breaks sugar into tiny pieces that disappear.
How does a burp escape from our mouth?,It’s extra air from your stomach coming out.
What’s going on during a brain freeze?,Cold touches the roof of your mouth and tricks your brain.
How do we know when we’re tired?,Our brain and body send signals asking for rest.
What helps our body cool down when we sweat?,Sweat evaporates and takes heat away from our skin.
How do germs make us sick?,They sneak into our body and cause trouble.
What does sleep do for our body?,"It helps us grow, heal, and feel better."
How do vegetables help us grow strong?,They give us vitamins and nutrients our body needs.
What keeps our teeth clean and healthy?,Brushing removes food and stops cavities.
How do bones hold us up?,They’re like a strong frame inside our body.
How does our brain know when we’re hungry,It sends signals when our stomach is empty or low on energy.
What makes our heart beat faster when we run,"Our body needs more oxygen, so the heart pumps faster."
Where does our food go after we swallow it,It travels down to the stomach to be broken down.
How do our ears help us balance,Tiny parts inside the ear sense movement and help us stay upright.
What makes our skin heal after a cut,Special cells work together to close the wound and grow new skin.
How do we taste sweet and sour things,Our tongue has taste buds that sense different flavors.
What makes our hair grow,Hair grows from roots under our skin called follicles.
How do our eyes adjust in the dark,Pupils get bigger to let in more light.
What causes our cheeks to turn red,Blood rushes to the skin when we’re warm or embarrassed.
How do we remember things from long ago,Our brain stores memories like files in a computer.
What makes our nails grow,Cells under the skin push out new nail layers.
How do we know something is hot or cold,Nerves in our skin send signals to the brain.
What makes us feel ticklish,Sensitive nerves react to light touches.
How does our body fight off germs,White blood cells attack and remove harmful invaders.
What makes us feel sleepy after lunch,"Digestion uses energy, and our body relaxes afterward."
How do we hear sounds from far away,Sound waves travel through the air and reach our ears.
What makes our voice sound different from others,Everyone’s throat and mouth shape sound in unique ways.
How do we smell things,Tiny hairs in our nose detect scent particles.
What makes our muscles move,Signals from the brain tell muscles when to contract.
How does our brain send messages to our body,It uses nerves like wires to carry signals.
How do owls see so well at night,Their eyes are super sensitive to low light.
What helps fish breathe underwater,Gills take oxygen from water.
How do kangaroos carry their babies,They have a pouch on their belly.
What makes fireflies glow,Special chemicals in their bodies light up.
How do penguins stay warm in the cold,Thick feathers and body fat keep them cozy.
What helps birds fly without falling,Wings and strong muscles lift them into the air.
How do elephants use their trunks,"They grab food, drink water, and even hug!"
What makes chameleons change color,Their skin cells shift to reflect different light.
How do dolphins talk to each other,They use clicks and whistles like a secret language.
What helps camels survive in the desert,They store fat in their humps and conserve water.
How do spiders spin webs,Silk comes from their bodies and they weave it carefully.
What makes butterflies so colorful,Tiny scales on their wings reflect light beautifully.
How do squirrels remember where they hide nuts,They use memory and smell to find their stash.
What helps bats fly in the dark,They use sound waves to “see” with echolocation.
How do bees find flowers,They follow scents and patterns in nature.
What makes turtles live so long,Slow metabolism and strong shells help them stay safe.
How do ants build tunnels,They dig and carry tiny bits of dirt away.
What helps polar bears stay warm,Thick fur and a layer of fat protect them.
How do snakes move without legs,Their muscles push against the ground in waves.
What makes parrots mimic human voices,Their brains and voice boxes are great at copying sounds.
How do rockets blast off into space,Powerful engines push them upward with lots of force.
What makes planets stay in orbit,Gravity keeps them circling the sun.
How do astronauts eat and sleep in space,They use special tools and sleeping bags that float.
What causes a solar eclipse,The moon blocks the sun’s light for a short time.
How do scientists know what stars are made of,They study the light stars give off.
What makes a black hole so powerful,"Its gravity is so strong, not even light escapes."
How do satellites stay up in the sky,They move fast enough to stay in orbit around Earth.
What causes shooting stars,Tiny space rocks burn up in Earth’s atmosphere.
How do we know how far away planets are,Scientists use math and telescopes to measure distance.
What makes the moon look bigger sometimes,It’s closer to Earth during certain times.
How do space telescopes take pictures,They use special lenses and sensors to capture light.
What causes the northern lights,Solar energy hits Earth’s magnetic field and glows.
How do planets get their names,Most are named after Roman gods.
What makes Mars red,Its surface has rusty iron dust.
How do we find new galaxies,Telescopes spot faint light from far away.
What causes gravity,Mass pulls things toward it—Earth has lots of mass!
How do astronauts train before going to space,They practice in pools and simulators.
What makes the sun rise and set,"Earth spins, so we see the sun move across the sky."
How do we send messages to space,Radio waves travel through space to reach spacecraft.
What makes the moon look white,It reflects sunlight off its surface.
How do robots know what to do,They follow instructions programmed by people.
What makes a computer work,Tiny circuits carry signals to process information.
How do video games respond to buttons,The game reads signals from the controller and reacts.
What helps airplanes stay in the air,Wings and engines create lift and speed.
How do cars move,Engines burn fuel to make wheels turn.
What makes a light bulb glow,Electricity heats a wire or gas inside the bulb.
How do batteries store energy,Chemicals inside hold power until it’s needed.
What causes electricity to flow,Electrons move through wires to power things.
How do elevators go up and down,Motors and cables lift or lower the cabin.
What makes a microwave heat food,It uses waves that make water molecules wiggle.
How do phones send messages,Signals travel through towers or satellites.
What helps trains stay on tracks,Wheels fit perfectly into the rails.
How do traffic lights change colors,Timers or sensors tell them when to switch.
What makes a camera capture pictures,Light enters the lens and hits a sensor or film.
How do drones fly,Propellers spin to lift and steer them.
What makes a speaker play sound,It vibrates to push air and create sound waves.
How do calculators solve math problems,They follow built-in math rules and logic.
What helps bridges stay strong,Strong materials and smart designs hold them up.
How do submarines go underwater,They fill tanks with water to sink and release it to rise.
What makes a rocket different from a plane,Rockets go to space; planes stay in Earth’s air.
How do plants grow from tiny seeds,Seeds sprout roots and leaves when they get water and sunlight.
What makes rain fall from clouds,Water droplets get heavy and drop down.
How do trees clean the air,They take in carbon dioxide and give out oxygen.
What causes thunder and lightning,"Lightning heats the air, and thunder is the sound it makes."
How do mountains form,Earth’s plates push together and lift land up.
What makes rivers flow,Gravity pulls water downhill.
How do deserts stay dry,They get very little rain and have hot temperatures.
What causes earthquakes,Earth’s plates shift and shake the ground.
How do volcanoes form,Magma rises from deep inside Earth and erupts.
What makes the ocean salty,Salt comes from rocks and rivers over time.
How do clouds float,They’re made of tiny water droplets held up by air.
What helps soil stay healthy,"Worms, bugs, and nutrients keep it rich."
How do forests stay alive,"Trees, animals, and rain all work together."
What causes wind to blow,Air moves from high pressure to low pressure areas.
How do lakes form,Water fills low spots in the land.
What makes fog appear,Tiny water droplets hang in the air near the ground.
How do coral reefs grow,Tiny animals called polyps build them over time.
What causes tides in the ocean,The moon’s gravity pulls on Earth’s water.
How do glaciers move,They slowly slide downhill like frozen rivers.
What makes the Earth spin,It’s been spinning since it was formed—and never stops!
What makes toast turn brown in the toaster,Heat causes a chemical change called the Maillard reaction.
How does soap clean our hands,Soap breaks down dirt and germs so water can wash them away.
Why do mirrors show our reflection,Light bounces off the mirror and back to our eyes.
What makes clothes shrink in the dryer,Heat and tumbling tighten the fabric fibers.
How does a fridge keep food cold,It uses a cooling system that removes heat from inside.
Why do we need to brush our teeth every day,To remove food and bacteria that cause cavities.
What makes a toilet flush,Water rushes from the tank to push waste down the drain.
How does a vacuum suck up dirt,A motor creates suction that pulls dirt into the machine.
Why do lights turn on with a switch,The switch completes an electrical circuit.
What makes water come out of the faucet,Pipes carry water from a tank or city supply.
How does a microwave heat leftovers,It uses waves that make water molecules vibrate and heat up.
Why do windows fog up in winter,Warm indoor air hits cold glass and turns into droplets.
What makes a fan feel cool,"It moves air across your skin, helping sweat evaporate."
How does a washing machine clean clothes,It spins and mixes water with soap to remove dirt.
Why do we need to sleep at night,"Sleep helps our body rest, grow, and recharge."
What makes cereal float in milk,Air inside the cereal makes it lighter than milk.
How does a remote control work,It sends signals using infrared light to the device.
Why do we wear socks,They keep our feet warm and protect them from rubbing.
What makes ice cubes stick together,Cold surfaces cause water to freeze between cubes.
How does a zipper close things up,Teeth on each side lock together when pulled.
How does a pencil leave marks on paper,Graphite rubs off and sticks to the paper.
What makes glue stick things together,It dries and forms a bond between surfaces.
Why do crayons melt in the sun,Heat softens the wax in crayons.
How does a calculator solve math problems,It uses tiny circuits to follow math rules.
What makes paper tear easily,Thin fibers break apart when pulled.
How does a backpack carry so much stuff,Strong straps and fabric hold everything together.
Why do erasers remove pencil marks,They lift graphite off the paper.
What makes chalk dusty,It’s made of soft powder that crumbles easily.
How does a ruler measure things,It shows numbers that match the length of objects.
Why do books have different fonts,Fonts help make reading easier or more fun.
What makes scissors cut,Sharp blades press together to slice through material.
How does a stapler hold papers together,It pushes a metal pin through and folds the ends.
Why do whiteboards erase easily,The ink sits on the surface and doesn’t soak in.
What makes highlighters glow,Special ink reflects light brightly.
How does a clock tell time,Moving hands show hours and minutes.
Why do we sharpen pencils,To make the tip pointy for writing.
What makes notebooks bend,Flexible paper and covers allow movement.
How does a projector show pictures,It shines light through a lens onto a screen.
Why do we raise our hands in class,To show we want to speak or ask a question.
What makes school bells ring,Electricity powers a hammer that hits the bell.
How does bread rise when baking,Yeast makes bubbles that puff up the dough.
What makes popcorn pop,Heat turns water inside the kernel into steam.
Why do apples turn brown when sliced,Air reacts with enzymes in the fruit.
How does salt make food taste better,It boosts flavor by activating taste buds.
What makes eggs hard when boiled,Heat changes the proteins inside.
How does sugar dissolve in tea,Water breaks sugar into tiny pieces.
Why do bananas get spots,They ripen and sugars break down.
What makes ice cream melt so fast,Warm air turns it from solid to liquid.
How does a blender mix things,Spinning blades chop and swirl ingredients.
Why do cookies smell so good,Heat releases yummy scents from ingredients.
What makes spaghetti soft when cooked,Boiling water breaks down starches.
How does oil fry food,Hot oil cooks food quickly and makes it crispy.
Why do lemons taste sour,They have citric acid that activates sour taste buds.
What makes chocolate melt in your hand,Body heat softens the fat in chocolate.
How does yeast help dough grow,It makes gas bubbles that expand the dough.
Why do onions make us cry,They release a gas that irritates our eyes.
What makes water boil,Heat makes water molecules move fast and turn to steam.
How does a kettle whistle,Steam escapes through a small hole and makes sound.
Why do pancakes bubble when cooking,Air and heat make bubbles in the batter.
What makes juice taste sweet,Natural sugars in fruit activate sweet taste buds.
How does grass grow,Roots take in water and nutrients from soil.
What makes leaves fall in autumn,Trees stop making green pigment and shed old leaves.
Why do birds chirp in the morning,They greet the day and talk to other birds.
How does rain form,Water vapor cools and turns into droplets.
What makes mud sticky,Water mixes with soft soil and forms a paste.
Why do worms come out after rain,Wet ground helps them breathe and move easily.
How does snow stick to the ground,Cold air keeps it frozen when it lands.
What makes flowers bloom,Sunlight and water help them open up.
Why do bees visit flowers,To collect nectar and pollen for food.
How does wind move tree branches,Air pushes against leaves and limbs.
What makes puddles disappear,Sunlight evaporates the water.
Why do squirrels climb trees,To find food and stay safe.
How does the sun warm the earth,Its rays carry heat energy to the ground.
What makes shadows change shape,The sun’s position changes during the day.
Why do clouds look fluffy,They’re made of tiny water droplets grouped together.
How does dew form on grass,Cool air turns moisture into drops overnight.
What makes bugs crawl,Their legs and muscles help them move.
Why do frogs jump,Strong back legs help them leap far.
How does a rainbow appear,Sunlight bends through raindrops and splits into colors.
What makes birds fly in a V shape,It saves energy and helps them follow each other.
How does a swing move back and forth,Gravity and momentum keep it going.
What makes bubbles float,Air inside is lighter than water.
Why do balls bounce,Their shape and material push back when they hit the ground.
How does a kite stay in the air,Wind lifts it while the string holds it steady.
What makes sand stick to wet feet,Water helps grains cling to skin.
Why do slides feel fast,Gravity pulls you down the smooth surface.
How does a trampoline bounce us up,Springs push back when you jump.
What makes toy cars roll,Wheels reduce friction and help them move.
Why do balloons rise,Air or helium inside is lighter than outside air.
How does a seesaw work,Weight on each side lifts and lowers the board.
What makes playdough soft,Moisture and soft ingredients keep it squishy.
Why do frisbees spin,Spinning helps them stay in the air longer.
How does a yo-yo go up and down,The string winds and unwinds as it moves.
What makes water guns squirt,Pressure pushes water out through a small hole.
Why do skipping ropes twist,Movement and gravity make them spin.
How does a puzzle fit together,Each piece is shaped to match only one spot.
What makes marbles roll smoothly,Their round shape and hard surface reduce friction.
Why do swings creak,Moving parts rub together and make noise.
How does a hula hoop stay up,Spinning and body movement keep it going.
What makes dominoes fall in a chain,"One pushes the next, creating a ripple effect."
What makes a door creak,Hinges rub together when they’re dry or rusty.
