Timestamp,Grade,Model,Type,Latency,Correct,Hallucination
1772644340.400046,5,phi3,Local,7.881511926651001,True,False
1772644341.394688,5,Llama4,Cloud,0.9911541938781738,True,False
1772644375.102519,5,phi3,Local,7.020830869674683,True,False
1772644375.791562,5,Llama4,Cloud,0.6859278678894043,True,False
1772644385.651484,5,phi3,Local,7.176493883132935,True,False
1772644386.4370828,5,Llama4,Cloud,0.783257007598877,True,False
1772644496.142014,5,phi3,Local,7.023590803146362,True,False
1772644497.064901,5,Llama4,Cloud,0.9190270900726318,True,False
1772644551.733952,9,phi3,Local,6.686044931411743,True,False
1772644552.65502,9,Llama4,Cloud,0.9185106754302979,True,False
1772644565.6040561,9,phi3,Local,10.577836990356445,True,False
1772644566.593757,9,Llama4,Cloud,0.9846241474151611,True,False
1772644578.198776,9,phi3,Local,6.953842878341675,True,False
1772644579.1617799,9,Llama4,Cloud,0.9580888748168945,True,False
1772644591.194897,9,phi3,Local,9.631004810333252,True,False
1772644591.957985,9,Llama4,Cloud,0.7592799663543701,True,False
1772644618.8173199,9,phi3,Local,8.884963035583496,True,False
1772644619.8870559,9,Llama4,Cloud,1.0666038990020752,True,False
1772644629.490805,2,phi3,Local,6.600089073181152,True,True
1772644630.1568131,2,Llama4,Cloud,0.6629030704498291,True,False
1772644639.319381,2,phi3,Local,5.875036954879761,True,False
1772644640.348751,2,Llama4,Cloud,1.0265512466430664,True,False
1772644648.353062,2,phi3,Local,4.74536395072937,True,False
1772644649.1577768,2,Llama4,Cloud,0.8014228343963623,True,False
1772644657.4220202,1,phi3,Local,4.76071310043335,True,False
1772644658.270752,1,Llama4,Cloud,0.8454101085662842,True,False
1772644668.983339,1,phi3,Local,4.1001667976379395,True,False
1772644669.6353211,1,Llama4,Cloud,0.64939284324646,True,False
1772644682.288872,1,phi3,Local,5.066224813461304,True,False
1772644682.8419762,1,Llama4,Cloud,0.5510909557342529,True,False
1772644695.136829,1,phi3,Local,5.031757116317749,True,False
1772644695.644785,1,Llama4,Cloud,0.5037710666656494,True,False
1772644710.756567,4,phi3,Local,7.7687249183654785,True,False
1772644711.619713,4,Llama4,Cloud,0.8599038124084473,True,False
1772644719.363457,4,phi3,Local,4.691483974456787,True,False
1772644720.1146991,4,Llama4,Cloud,0.7494692802429199,True,True
1772644727.718453,4,phi3,Local,5.418018102645874,True,False
1772644728.219001,4,Llama4,Cloud,0.4981670379638672,True,False
1772644757.083605,4,phi3,Local,7.927887201309204,True,False
1772644757.8036249,4,Llama4,Cloud,0.7167868614196777,True,False
1772644766.0392299,4,phi3,Local,5.235693693161011,True,False
1772644766.81559,4,Llama4,Cloud,0.7736070156097412,True,False
1772644775.090347,4,phi3,Local,5.424133062362671,True,False
1772644775.7735171,4,Llama4,Cloud,0.6800582408905029,True,False
1772644784.684492,4,phi3,Local,5.461834907531738,False,False
1772644785.347492,4,Llama4,Cloud,0.660383939743042,True,False
1772644804.446945,7,phi3,Local,6.031328916549683,True,False
1772644805.218862,7,Llama4,Cloud,0.7685801982879639,True,False
1772644819.632341,7,phi3,Local,12.92482590675354,True,True
1772650640.431798,5,phi3,Local,7.307404041290283,True,False
1772650641.2702851,5,Llama4,Cloud,0.8338401317596436,True,False
1772650670.369269,9,phi3,Local,6.146107196807861,True,False
1772650671.111207,9,Llama4,Cloud,0.7392299175262451,True,False
1772651851.337147,2,phi3,Local,9.950687170028687,True,False
1772651852.244839,2,Llama4,Cloud,0.9039630889892578,True,False
1772642520.903878,5,phi3,Local,10.784841060638428,True,True
1772642521.599458,5,Llama4,Cloud,0.6933221817016602,True,False
1772642726.258705,5,phi3,Local,10.670285940170288,True,False
1772642726.965153,5,Llama4,Cloud,0.7035691738128662,True,False
1772642746.86599,5,phi3,Local,8.119946002960205,True,False
1772642747.701566,5,Llama4,Cloud,0.8315980434417725,True,False
1772642758.705034,5,phi3,Local,6.995128154754639,True,True
1772642759.270294,5,Llama4,Cloud,0.5615458488464355,True,False
1772642940.671381,5,phi3,Local,7.351874113082886,True,False
1772642941.5686579,5,Llama4,Cloud,0.8927180767059326,True,False
1772642957.9918919,10,phi3,Local,10.305002927780151,True,False
1772642958.866876,10,Llama4,Cloud,0.8714139461517334,True,False
1772642981.809665,10,phi3,Local,10.62496304512024,True,False
1772642983.067709,10,Llama4,Cloud,1.255418062210083,True,False
1772642992.108097,10,phi3,Local,7.389325141906738,True,False
1772642993.1571681,10,Llama4,Cloud,1.045123815536499,True,False
1772643010.00623,10,phi3,Local,10.821688890457153,True,False
